"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"229",12,"Michael Mayer",LV,"TE29","13","8.2","-37","-","-"
"230",12,"Jason Sanders",MIA,"K6","10","-","-20","+0.1","43% (7/16)"
"231",12,"Younghoe Koo",ATL,"K7","11","-","-65","+1.2","56% (9/16)"
"232",12,"Miami Dolphins",MIA,"DST13","10","-","-57","-0.6","43% (7/16)"
"233",12,"Jake Elliott",PHI,"K8","10","-","-51","-1.1","26% (4/15)"
"234",12,"Jason Myers",SEA,"K9","5","-","-37","+1.8","68% (11/16)"
"235",12,"Jelani Woods",IND,"TE30","11","5.0","+42","+1.2","35% (5/14)"
"236",12,"Cleveland Browns",CLE,"DST14","5","-","+14","0.0","31% (5/16)"
"237",12,"Jimmy Garoppolo",LV,"QB29","13","6.2","-53","+2.5","54% (6/11)"
"238",12,"Allen Robinson II",PIT,"WR89","6","5.2","+49","-1.4","40% (4/10)"
"239",12,"Brandon McManus",JAC,"K10","9","-","-28","+1.0","50% (8/16)"
"240",12,"Terrace Marshall Jr.",CAR,"WR90","7","8.4","+56","-0.4","38% (5/13)"
"241",12,"Los Angeles Chargers",LAC,"DST15","5","-","+74","-0.4","52% (9/17)"
"242",12,"Tampa Bay Buccaneers",TB,"DST16","5","-","+36","-0.9","31% (5/16)"
"243",12,"Josh Downs",IND,"WR91","11","7.0","+22","-","-"
"244",12,"Washington Commanders",WAS,"DST17","14","-","-9","-0.1","31% (5/16)"
"245",12,"Luke Musgrave",GB,"TE31","6","7.4","-51","-","-"
"246",12,"C.J. Stroud",HOU,"QB30","7","6.0","-72","-","-"
"247",12,"Ty Chandler",MIN,"RB68","13","7.8","+4","-1.7","0% (0/6)"
"248",12,"Cade Otton",TB,"TE32","5","2.6","+43","+0.3","46% (7/15)"
"249",12,"Tyler Conklin",NYJ,"TE33","7","4.8","-40","+0.6","50% (8/16)"
"250",12,"Green Bay Packers",GB,"DST18","6","-","-17","+0.4","43% (7/16)"
"251",12,"Richie James Jr.",KC,"WR92","10","1.0","+35","+1.0","50% (7/14)"
"252",12,"Graham Gano",NYG,"K11","13","-","-7","+1.1","56% (9/16)"
"253",13,"Jake Ferguson",DAL,"TE34","7","4.2","-50","+0.3","33% (5/15)"
"254",13,"Russell Gage",TB,"WR93","5","7.2","-","+0.7","33% (4/12)"
"255",13,"Isaiah Likely",BAL,"TE35","13","5.4","-1","+0.1","40% (6/15)"
"256",13,"Matt Gay",IND,"K12","11","-","-9","+0.6","50% (8/16)"
"257",13,"Jacksonville Jaguars",JAC,"DST19","9","-","-35","+1.4","56% (9/16)"
"258",13,"Mack Hollins",ATL,"WR94","11","6.6","+41","+1.0","50% (8/16)"
"259",13,"Greg Joseph",MIN,"K13","13","-","+8","-0.1","50% (8/16)"
"260",13,"Greg Zuerlein",NYJ,"K14","7","-","-12","+1.7","56% (9/16)"
"261",13,"Josh Reynolds",DET,"WR95","9","5.0","-","+0.1","38% (5/13)"
"262",13,"Kyren Williams",LAR,"RB69","10","4.0","-7","-1.6","33% (3/9)"
"263",13,"Indianapolis Colts",IND,"DST20","11","-","+19","+0.1","43% (7/16)"
"264",13,"Desmond Ridder",ATL,"QB31","11","7.0","-27","-1.4","0% (0/15)"
"265",13,"Logan Thomas",WAS,"TE36","14","4.2","+32","-1.2","38% (5/13)"
"266",13,"Zach Evans",LAR,"RB70","10","4.6","0","-","-"
"267",13,"Tank Dell",HOU,"WR96","7","7.2","-50","-","-"
"268",13,"Nick Folk",NE,"K15","11","-","-28","+1.2","50% (8/16)"
"269",13,"Wil Lutz",NO,"K16","11","-","-5","+0.1","56% (9/16)"
"270",13,"Isaiah Spiller",LAC,"RB71","5","4.0","+76","-1.3","12% (1/8)"
"271",13,"Khalil Shakir",BUF,"WR97","13","1.0","+29","-0.9","15% (2/13)"
"272",13,"Los Angeles Rams",LAR,"DST21","10","-","+2","-0.4","37% (6/16)"
"273",13,"Deuce Vaughn",DAL,"RB72","7","4.2","-97","-","-"
"274",13,"Kendrick Bourne",NE,"WR98","11","2.8","-","-0.1","33% (5/15)"
"275",13,"Pierre Strong Jr.",NE,"RB73","11","3.2","+6","-0.7","15% (2/13)"
"276",13,"Marvin Jones Jr.",DET,"WR99","9","5.8","+37","-0.7","46% (7/15)"
"277",13,"Latavius Murray",BUF,"RB74","13","2.0","+28","+2.3","66% (8/12)"
"278",13,"Carolina Panthers",CAR,"DST22","7","-","+5","+0.4","56% (9/16)"
"279",13,"Matt Prater",ARI,"K17","14","-","-26","+1.5","58% (7/12)"
"280",13,"Israel Abanikanda",NYJ,"RB75","7","4.4","-7","-","-"
"281",13,"Seattle Seahawks",SEA,"DST23","5","-","-63","+0.8","62% (10/16)"
"282",13,"Sterling Shepard",NYG,"WR100","13","4.6","-3","+1.3","33% (1/3)"
"283",13,"Justyn Ross",KC,"WR101","10","1.2","-55","-","-"
"284",13,"Jake Moody",SF,"K18","9","-","-79","-","-"
"285",13,"Puka Nacua",LAR,"WR102","10","4.6","+7","-","-"
"286",13,"Chris Boswell",PIT,"K19","6","-","-15","+1.3","63% (7/11)"
"287",13,"Matt Breida",NYG,"RB76","13","3.0","+58","-0.1","25% (4/16)"
"288",13,"Baker Mayfield",TB,"QB32","5","5.6","-36","-0.2","28% (4/14)"
"289",13,"Zack Moss",IND,"RB77","11","4.6","+17","-1.2","25% (3/12)"
"290",13,"Cedric Tillman",CLE,"WR103","5","5.4","+22","-","-"
"291",13,"JaMycal Hasty",JAC,"RB78","9","2.6","-","+1.4","31% (5/16)"
"292",13,"Keaontay Ingram",ARI,"RB79","14","5.6","+19","-1.1","9% (1/11)"
"293",13,"Isaiah McKenzie",IND,"WR104","11","7.0","-","-0.1","40% (6/15)"
"294",13,"Evan Hull",IND,"RB80","11","4.4","+7","-","-"
"295",13,"Jordan Mason",SF,"RB81","9","6.6","+55","-0.5","35% (5/14)"
"296",13,"D'Ernest Johnson",JAC,"RB82","9","3.0","+42","-1.2","16% (2/12)"
"297",13,"Quez Watkins",PHI,"WR105","10","6.2","-","+0.4","43% (7/16)"
"298",13,"Tennessee Titans",TEN,"DST24","7","-","-","-0.2","56% (9/16)"
"299",13,"Riley Patterson",DET,"K20","9","-","-27","+1.4","56% (9/16)"
"300",13,"Laviska Shenault Jr.",CAR,"WR106","7","9.2","-","+0.6","41% (5/12)"
"301",13,"Greg Dortch",ARI,"WR107","14","5.2","+16","0.0","35% (5/14)"
"302",14,"New York Giants",NYG,"DST25","13","-","-75","-0.2","43% (7/16)"
"303",14,"Tutu Atwell",LAR,"WR108","10","3.6","-","-0.5","38% (5/13)"
"304",14,"Michael Wilson",ARI,"WR109","14","5.6","-14","-","-"
"305",14,"Zonovan Knight",NYJ,"RB83","7","5.0","-","-1.4","50% (3/6)"
"306",14,"Braxton Berrios",MIA,"WR110","10","5.0","-","-1.0","37% (6/16)"
"307",14,"Detroit Lions",DET,"DST26","9","-","-19","+0.1","43% (7/16)"
"308",14,"Trey Lance",SF,"QB33","9","3.8","-89","-11.9","0% (0/2)"
"309",14,"James Robinson",NYG,"RB84","13","2.8","+28","-1.5","36% (4/11)"
"310",14,"DeWayne McBride",MIN,"RB85","13","7.8","-40","-","-"
"311",14,"Ronald Jones II",DAL,"RB86","7","4.6","-","-0.8","14% (1/7)"
"312",14,"Ka'imi Fairbairn",HOU,"K21","7","-","-","+1.7","68% (11/16)"
"313",14,"Cairo Santos",CHI,"K22","13","-","-","+0.1","33% (5/15)"
"314",14,"Austin Hooper",LV,"TE37","13","8.2","-","-0.2","31% (5/16)"
"315",14,"Dustin Hopkins",LAC,"K23","5","-","-","-1.4","33% (2/6)"
"316",14,"Trayveon Williams",CIN,"RB87","7","5.0","+37","-0.8","50% (1/2)"
"317",14,"Malik Davis",DAL,"RB88","7","4.4","-9","-0.4","33% (3/9)"
"318",14,"Boston Scott",PHI,"RB89","10","1.2","-","-0.3","35% (5/14)"
"319",14,"Sean Tucker",TB,"RB90","5","6.0","-17","-","-"
"320",14,"Eric Gray",NYG,"RB91","13","3.0","-10","-","-"
"321",14,"Daniel Bellinger",NYG,"TE38","13","1.0","-","+0.5","58% (7/12)"
"322",14,"Minnesota Vikings",MIN,"DST27","13","-","-78","-0.9","43% (7/16)"
"323",14,"Kyle Philips",TEN,"WR111","7","4.0","-","-2.3","25% (1/4)"
"324",14,"Deonte Harty",BUF,"WR112","13","1.0","-","-2.1","0% (0/4)"
"325",14,"Brett Maher",DEN,"K24","9","-","-104","+2.2","56% (9/16)"
"326",14,"Nick Westbrook-Ikhine",TEN,"WR113","7","5.8","-","-0.9","31% (5/16)"
"327",14,"Chris Evans",CIN,"RB92","7","5.0","+20","-0.5","18% (2/11)"
"328",14,"Hassan Haskins",TEN,"RB93","7","7.2","-","-1.3","21% (3/14)"
"329",14,"Tyrion Davis-Price",SF,"RB94","9","6.4","+23","-1.0","25% (2/8)"
"330",14,"Devin Duvernay",BAL,"WR114","13","5.2","-","+0.3","50% (7/14)"
"331",14,"David Bell",CLE,"WR115","5","5.2","-","-0.7","40% (6/15)"
"332",14,"Kayshon Boutte",NE,"WR116","11","2.6","-","-","-"
"333",14,"Robbie Gould",FA,"K25","-","-","-49","+0.7","43% (7/16)"
"334",14,"Jauan Jennings",SF,"WR117","9","6.2","-","+0.1","40% (6/15)"
"335",14,"Jonnu Smith",ATL,"TE39","11","3.4","-","-0.8","57% (8/14)"
"336",14,"Melvin Gordon III",BAL,"RB95","13","-","-2","-1.5","33% (4/12)"
"337",14,"Jacoby Brissett",WAS,"QB34","14","1.0","-39","+0.4","35% (5/14)"
"338",14,"Albert Okwuegbunam",DEN,"TE40","9","7.4","-","-1.3","11% (1/9)"
"339",14,"Robert Tonyan",CHI,"TE41","13","5.8","-","-1.1","25% (4/16)"
"340",14,"Luke Schoonmaker",DAL,"TE42","7","4.2","-18","-","-"
"341",14,"Robbie Chosen",MIA,"WR118","10","4.0","-","-2.9","12% (2/16)"
"342",14,"Deon Jackson",IND,"RB96","11","4.6","-48","-0.3","20% (3/15)"
"343",14,"Ryan Succop",FA,"K26","-","-","-","+0.2","43% (7/16)"
"344",15,"Kenny McIntosh",SEA,"RB97","5","3.4","-","-","-"
"345",15,"Ke'Shawn Vaughn",TB,"RB98","5","6.0","-2","-0.7","7% (1/13)"
"346",15,"Cade York",CLE,"K27","5","-","-32","+0.4","50% (8/16)"
"347",15,"Noah Brown",HOU,"WR119","7","6.8","-","+0.3","40% (6/15)"
"348",15,"Cameron Dicker",LAC,"K28","5","-","-134","+1.0","70% (7/10)"
"349",15,"Eddy Pineiro",CAR,"K29","7","-","-60","+2.3","56% (9/16)"
"350",15,"Raheem Blackshear",CAR,"RB99","7","6.6","-2","+1.3","45% (5/11)"
"351",15,"Kyle Trask",TB,"QB35","5","5.6","-71","-0.7","0% (0/1)"
"352",15,"DeeJay Dallas",SEA,"RB100","5","3.2","-","-0.6","28% (4/14)"
"353",15,"Noah Gray",KC,"TE43","10","7.2","-9","+0.9","52% (9/17)"
"354",15,"Arizona Cardinals",ARI,"DST28","14","-","-","+0.3","50% (8/16)"
"355",15,"Kenyan Drake",IND,"RB101","11","-","-13","+1.2","45% (5/11)"
"356",15,"Tucker Kraft",GB,"TE44","6","7.4","-","-","-"
"357",15,"Colt McCoy",ARI,"QB36","14","2.6","-82","-0.6","20% (2/10)"
"358",15,"Calvin Austin III",PIT,"WR120","6","5.2","-27","-","-"
"359",15,"Rodrigo Blankenship",TB,"K30","5","-","-","-4.8","33% (2/6)"
"360",15,"Adam Trautman",DEN,"TE45","9","7.8","-","-0.3","42% (6/14)"
"361",15,"Michael Badgley",WAS,"K31","14","-","-98","+1.0","71% (10/14)"
"362",15,"Nelson Agholor",BAL,"WR121","13","5.2","-","-1.4","13% (2/15)"
"363",15,"Will Dissly",SEA,"TE46","5","3.6","-","+0.9","28% (4/14)"
"364",15,"Julio Jones",FA,"WR122","-","-","-","-0.2","50% (5/10)"
"365",15,"Kalif Raymond",DET,"WR123","9","5.4","-","+0.4","43% (7/16)"
"366",15,"Kene Nwangwu",MIN,"RB102","13","7.8","-","+0.1","18% (2/11)"
"367",15,"Donald Parham Jr.",LAC,"TE47","5","6.2","-","-0.4","42% (3/7)"
"368",15,"Jarvis Landry",FA,"WR124","-","-","-29","-2.2","22% (2/9)"
"369",15,"Mason Crosby",FA,"K32","-","-","-","-0.3","50% (8/16)"
"370",15,"Chicago Bears",CHI,"DST29","13","-","-128","-2.3","18% (3/16)"
"371",15,"Ben Skowronek",LAR,"WR125","10","4.8","-","-1.1","28% (4/14)"
"372",15,"KJ Hamler",FA,"WR126","-","3.0","-","-1.0","42% (3/7)"
"373",15,"Jamal Agnew",JAC,"WR127","9","8.6","-","+1.1","35% (5/14)"
"374",15,"Will Levis",TEN,"QB37","7","7.0","-71","-","-"
"375",15,"Olamide Zaccheaus",PHI,"WR128","10","5.4","-","-0.1","43% (7/16)"
"376",15,"Trenton Irwin",CIN,"WR129","7","-","-","-","-"
"377",15,"Deneric Prince",KC,"RB103","10","-","-70","-","-"
"378",15,"J.D. McKissic",FA,"RB104","-","-","-52","-1.2","37% (3/8)"
"379",15,"Xavier Hutchinson",HOU,"WR130","7","7.2","-","-","-"
"380",15,"Brandon Aubrey",DAL,"K33","7","-","-","-","-"
"381",15,"Atlanta Falcons",ATL,"DST30","11","-","-138","-0.5","43% (7/16)"
"382",15,"Corey Clement",ARI,"RB105","14","4.6","-","-1.3","16% (1/6)"
"383",15,"Craig Reynolds",DET,"RB106","9","8.6","-","-0.6","20% (2/10)"
"384",15,"Foster Moreau",NO,"TE48","11","9.2","-","-0.3","40% (6/15)"
"385",15,"Ameer Abdullah",LV,"RB107","13","6.2","-","0.0","40% (6/15)"
"386",15,"Harrison Bryant",CLE,"TE49","5","4.4","-","-0.9","37% (6/16)"
"387",15,"Rico Dowdle",DAL,"RB108","7","4.6","-36","-1.2","0% (0/7)"
"388",15,"A.T. Perry",NO,"WR131","11","8.6","-","-","-"
"389",15,"Chris Moore",TEN,"WR132","7","6.2","-","+0.2","46% (7/15)"
"390",15,"Cedrick Wilson Jr.",MIA,"WR133","10","5.0","-","-2.0","13% (2/15)"
"391",15,"Jamison Crowder",NYG,"WR134","13","4.4","-","-2.5","0% (0/5)"
"392",15,"Houston Texans",HOU,"DST31","7","-","-","+0.4","62% (10/16)"
"393",15,"Sam Darnold",SF,"QB38","9","4.6","-","+3.3","66% (4/6)"
"394",15,"Ty Montgomery",NE,"RB109","11","3.2","-","+6.8","100% (1/1)"
"395",15,"Durham Smythe",MIA,"TE50","10","2.6","-","-0.5","26% (4/15)"
"396",15,"C.J. Uzomah",NYJ,"TE51","7","4.6","-","+0.4","53% (8/15)"
"397",15,"Kevin Harris",NE,"RB110","11","1.8","-","-1.2","20% (1/5)"
"398",15,"Darnell Washington",PIT,"TE52","6","6.6","-89","-","-"
"399",15,"Chad Ryland",NE,"K34","11","-","-59","-","-"
"400",15,"Bailey Zappe",NE,"QB39","11","3.2","-","+0.5","27% (3/11)"
"401",15,"Marquez Callaway",DEN,"WR135","9","3.4","-","-1.9","15% (2/13)"
"402",15,"Chris Rodriguez Jr.",WAS,"RB111","14","4.8","-48","-","-"
"403",15,"Demarcus Robinson",LAR,"WR136","10","-","-","-0.2","43% (7/16)"
"404",15,"Tyler Scott",CHI,"WR137","13","4.2","-","-","-"
"405",15,"Justin Watson",KC,"WR138","10","3.2","-","-1.0","23% (4/17)"
"406",15,"Dyami Brown",WAS,"WR139","14","4.4","-","-0.1","22% (2/9)"
"407",15,"Kylen Granson",IND,"TE53","11","5.6","-","+0.2","46% (6/13)"
"408",15,"Las Vegas Raiders",LV,"DST32","13","-","-","-1.3","37% (6/16)"
"409",15,"Brevin Jordan",HOU,"TE54","7","4.4","-","-1.6","30% (3/10)"
"410",15,"Myles Gaskin",MIA,"RB112","10","1.8","-","-0.2","50% (2/4)"
"411",15,"Darrel Williams",NO,"RB113","11","-","-","+0.1","16% (1/6)"
"412",15,"Demario Douglas",NE,"WR140","11","-","-","-","-"
"413",15,"Samori Toure",GB,"WR141","6","5.4","-","+0.5","60% (3/5)"
"414",15,"Gardner Minshew II",IND,"QB40","11","5.8","-119","-0.4","6% (1/15)"
"415",15,"Dontrell Hilliard",FA,"RB114","-","-","-66","+0.7","41% (5/12)"
"416",15,"Mike Boone",HOU,"RB115","7","4.2","-","-0.8","22% (2/9)"
"417",15,"Salvon Ahmed",MIA,"RB116","10","2.0","-","-0.4","8% (1/12)"
"418",15,"Justice Hill",BAL,"RB117","13","5.2","-77","-0.4","35% (5/14)"
"419",15,"Zach Pascal",ARI,"WR142","14","4.6","-","-0.5","21% (3/14)"
"420",15,"Kyle Juszczyk",SF,"RB118","9","6.6","-","+0.2","46% (7/15)"
"421",15,"Randall Cobb",NYJ,"WR143","7","-","-","-","-"
"422",15,"Darrell Henderson Jr.",FA,"RB119","-","-","-","-2.3","20% (2/10)"
"423",15,"Tyler Huntley",BAL,"QB41","13","4.6","-","-2.5","0% (0/15)"
"424",15,"Jalen Tolbert",DAL,"WR144","7","2.2","-","-3.0","0% (0/6)"
"425",15,"Tanner Brown",LAR,"K35","10","-","-","-","-"
"426",16,"Trey Palmer",TB,"WR145","5","7.4","-71","-","-"
"427",16,"Cole Turner",WAS,"TE55","14","3.8","-","-1.1","12% (1/8)"
"428",16,"Jameis Winston",NO,"QB42","11","9.2","-","-0.9","16% (2/12)"
"429",16,"Trent Sherfield",BUF,"WR146","13","1.0","-","+0.8","43% (7/16)"
"430",16,"Peyton Hendershot",DAL,"TE56","7","4.4","-","+0.6","40% (6/15)"
"431",16,"Brock Wright",DET,"TE57","9","5.2","-","+0.4","31% (5/16)"
"432",16,"Scott Miller",ATL,"WR147","11","4.6","-","-0.7","35% (5/14)"
"433",16,"Parker Washington",JAC,"WR148","9","8.6","-","-","-"
"434",16,"Tyler Badie",DEN,"RB120","9","7.2","-","-","-"
"435",16,"Anders Carlson",GB,"K36","6","-","-","-","-"
"436",16,"Joey Slye",WAS,"K37","14","-","-","+0.1","43% (7/16)"
"437",16,"Mo Alie-Cox",IND,"TE58","11","5.6","-","-1.3","6% (1/16)"
"438",16,"Randy Bullock",FA,"K38","-","-","-","-1.3","28% (4/14)"
"439",16,"Tristan Vizcaino",FA,"K39","-","-","-","-4.4","33% (1/3)"
"440",16,"Denzel Mims",FA,"WR149","-","3.6","-","-0.5","33% (3/9)"
"441",16,"Anthony McFarland Jr.",PIT,"RB121","6","-","-","-","-"
"442",16,"Jordan Akins",CLE,"TE59","5","4.2","-","+1.2","50% (7/14)"
"443",16,"Zack Kuntz",NYJ,"TE60","7","5.0","-","-","-"
"444",16,"Jeremy Ruckert",NYJ,"TE61","7","5.0","-","-1.1","0% (0/8)"
"445",16,"Velus Jones Jr.",CHI,"WR150","13","4.2","-","-0.5","33% (3/9)"
"446",16,"Tre Tucker",LV,"WR151","13","-","-","-","-"
"447",16,"Trestan Ebner",CHI,"RB122","13","8.6","-","-1.3","8% (1/12)"
"448",16,"KhaDarel Hodge",ATL,"WR152","11","6.0","-","-0.2","33% (5/15)"
"449",16,"Brandon Bolden",LV,"RB123","13","6.2","-","-0.8","18% (2/11)"
"450",16,"Colby Parkinson",SEA,"TE62","5","4.0","-","+0.6","37% (6/16)"
"451",16,"Andrei Iosivas",CIN,"WR153","7","6.6","-","-","-"
"452",16,"Taylor Heinicke",ATL,"QB43","11","7.2","-","-0.9","20% (3/15)"
"453",16,"Josh Oliver",MIN,"TE63","13","4.4","-","+0.4","31% (5/16)"
"454",16,"Danny Gray",SF,"WR154","9","5.4","-","-1.4","0% (0/3)"
"455",16,"Tommy Tremble",CAR,"TE64","7","5.0","-","+0.1","31% (5/16)"
"456",16,"O.J. Howard",FA,"TE65","-","6.8","-","-1.1","23% (3/13)"
"457",16,"DeAndre Carter",LV,"WR155","13","1.8","-","-0.5","35% (6/17)"
"458",16,"Brenton Strange",JAC,"TE66","9","2.4","-","-","-"
"459",16,"Hunter Long",LAR,"TE67","10","2.2","-","-0.9","0% (0/7)"
"460",16,"Brian Hoyer",LV,"QB44","13","-","-","-","-"
"461",16,"Mohamed Ibrahim",DET,"RB124","9","8.4","-","-","-"